City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Cabo San Lucas,MX,84.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
11,Guerrero Negro,MX,75.22,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
13,Aden,YE,83.86,clear sky,12.7794,45.0367,Sama Emirate Hotel
14,Cabo San Lucas,MX,84.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
15,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
30,Srednekolymsk,RU,77.81,overcast clouds,67.45,153.6833,
31,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
34,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
49,Tautira,PF,77.13,broken clouds,-17.7333,-149.15,Pension Oaoa
51,Paka,MY,80.53,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
55,Loiza,PR,84.18,haze,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
69,Bethel,US,77.36,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
78,El Tigre,VE,75.16,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
90,Prabumulih,ID,80.46,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
92,Ishigaki,JP,80.73,light intensity shower rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
97,Nishihara,JP,78.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
98,Kudahuvadhoo,MV,81.41,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
112,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
113,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
117,Hilo,US,83.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
118,Ban Tak,TH,84.22,overcast clouds,17.0432,99.0813,Bansuansiriwat
119,Shitanjing,CN,75.27,overcast clouds,39.2342,106.3439,Yingbin Hotel
124,Puerto Escondido,MX,81.19,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
131,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
132,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,hotel la terminal
135,San Miguel,SV,80.17,overcast clouds,13.4833,-88.1833,Excalibur
143,Bengkulu,ID,81.0,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
146,Suffolk,US,77.41,clear sky,40.8668,-72.7996,Greenwood Village
155,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
156,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
157,Tabas,IR,82.62,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
164,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
174,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
176,Buchanan,LR,75.18,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
177,Zaysan,KZ,77.38,clear sky,47.4667,84.8667,Ерлан үй
178,Faanui,PF,78.42,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
181,Isla Mujeres,MX,84.25,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
184,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
187,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
189,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
190,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
191,Herat,AF,76.98,clear sky,34.5,62.0,
193,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
198,Jablanica,BA,75.33,clear sky,43.6603,17.7617,Motel Maksumić
201,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
202,Cabo San Lucas,MX,84.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
208,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
214,Alyangula,AU,79.05,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
215,Bethel,US,77.36,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
228,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
231,Hilo,US,83.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
232,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
234,Touros,BR,76.53,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
236,Waddan,LY,78.39,clear sky,29.1614,16.139,محل الشريف محمد العايب
239,Sussex,US,76.32,overcast clouds,41.1834,-74.6663,Top O Hill Farm - McDougals
247,Cabo San Lucas,MX,84.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
252,Dongsheng,CN,77.4,few clouds,39.8161,109.9776,Crowne Plaza Ordos
254,Tapia,PH,82.51,overcast clouds,7.7542,126.0119,
264,Martapura,ID,77.09,light rain,-3.4167,114.85,Montana Hotel Syariah
268,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
281,Komsomolskiy,UZ,79.52,few clouds,40.4272,71.7189,Ikathouse
284,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
287,Kalmunai,LK,79.9,overcast clouds,7.4167,81.8167,VS Villa
290,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
292,Talavera,PH,84.29,overcast clouds,15.6167,120.9333,R&G's Resort
294,Nawashahr,IN,76.6,overcast clouds,31.1167,76.1333,Hotel Janpath
295,Mandalgovi,MN,76.32,overcast clouds,45.7625,106.2708,В.Ганбат
297,Meulaboh,ID,78.71,overcast clouds,4.1363,96.1285,Kost Pria
300,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
302,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
305,Evanston,US,79.11,clear sky,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
313,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
316,Khor,RU,82.22,overcast clouds,47.8861,134.9464,Gostinitsa Deksi
318,Dubti,ET,80.26,broken clouds,11.7361,41.0853,degu Shiferaw
326,Nautla,MX,80.06,broken clouds,20.2167,-96.7833,Casa Blanca
327,Mazagao,BR,82.45,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
335,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
337,Jaffna,LK,82.89,overcast clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
339,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
340,That Phanom,TH,78.82,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
348,Hailar,CN,75.88,few clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
353,Kismayo,SO,75.42,clear sky,-0.3582,42.5454,Agan-Hotel
354,Travesia,HN,82.69,overcast clouds,15.8667,-87.9,Casa de Paz/House of Peace
356,Hilo,US,83.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
358,Batagay,RU,81.46,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
359,Darab,IR,79.47,overcast clouds,28.7519,54.5444,Naghshe shapoor Hotel
363,Guerrero Negro,MX,75.22,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
368,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
369,Dingle,PH,84.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
375,Tomatlan,MX,77.92,overcast clouds,19.9333,-105.25,El Salvial
382,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
384,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
389,Kavaratti,IN,77.94,overcast clouds,10.5669,72.642,Green leaf
401,Huntsville,US,75.56,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
403,Dennery,LC,82.53,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
405,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
407,Alta Floresta,BR,75.47,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
412,Warrensburg,US,84.38,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
416,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
422,Youhao,CN,83.73,light rain,47.8667,128.8333,Changcheng Hotel
433,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
435,Kalmunai,LK,79.9,overcast clouds,7.4167,81.8167,VS Villa
439,Huntsville,US,75.56,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
456,Manavgat,TR,79.65,clear sky,36.7867,31.4431,Lake & River Side Hotel & Spa
465,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
474,Bethel,US,77.36,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
475,Iracoubo,GF,78.42,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
481,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
484,Edgewater,US,83.01,clear sky,28.9889,-80.9023,Islander Beach Resort
488,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
489,Hilo,US,83.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
501,Alexandria,EG,78.76,clear sky,31.2156,29.9553,Royal Crown Hotel
502,Spasskoye,RU,78.53,overcast clouds,44.6108,132.7969,Garmonist
508,Tual,ID,79.56,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
