,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Cabo San Lucas,22.8909,-109.9124,84.51,81,27,3.0,MX,2022-08-01 01:51:49,scattered clouds
1,Mbandaka,0.0487,18.2603,70.9,76,100,2.98,CD,2022-08-01 01:51:49,overcast clouds
2,Walvis Bay,-22.9575,14.5053,55.09,71,14,10.36,NA,2022-08-01 01:46:55,few clouds
3,Albany,42.6001,-73.9662,73.63,72,100,2.28,US,2022-08-01 01:51:50,overcast clouds
4,New Norfolk,-42.7826,147.0587,53.92,76,54,4.0,AU,2022-08-01 01:51:51,broken clouds
5,Saldanha,-33.0117,17.9442,50.31,80,0,13.09,ZA,2022-08-01 01:51:51,clear sky
6,Narsaq,60.9167,-46.05,46.17,89,100,4.7,GL,2022-08-01 01:51:51,overcast clouds
7,Ribeira Grande,38.5167,-28.7,73.78,76,19,7.07,PT,2022-08-01 01:51:35,few clouds
8,Nikolskoye,59.7035,30.7861,57.79,83,100,4.41,RU,2022-08-01 01:51:52,overcast clouds
9,Thompson,55.7435,-97.8558,57.36,94,75,2.3,CA,2022-08-01 01:51:52,broken clouds
10,Portogruaro,45.7753,12.8386,74.37,87,1,4.47,IT,2022-08-01 01:51:53,clear sky
11,Guerrero Negro,27.9769,-114.0611,75.22,65,16,14.2,MX,2022-08-01 01:51:53,few clouds
12,East London,-33.0153,27.9116,53.49,62,0,6.76,ZA,2022-08-01 01:51:54,clear sky
13,Aden,12.7794,45.0367,83.86,75,4,3.98,YE,2022-08-01 01:47:24,clear sky
14,Cabo San Lucas,22.8909,-109.9124,84.51,81,27,3.0,MX,2022-08-01 01:51:49,scattered clouds
15,Vaini,-21.2,-175.2,80.76,94,75,6.91,TO,2022-08-01 01:51:55,broken clouds
16,Brae,60.3964,-1.353,51.6,82,93,9.95,GB,2022-08-01 01:51:56,overcast clouds
17,Vila Velha,-20.3297,-40.2925,71.55,84,75,3.44,BR,2022-08-01 01:51:56,broken clouds
18,Mataura,-46.1927,168.8643,51.48,69,81,9.13,NZ,2022-08-01 01:51:57,broken clouds
19,Lagoa,39.05,-27.9833,72.39,75,0,8.97,PT,2022-08-01 01:51:57,clear sky
20,Nome,64.5011,-165.4064,58.15,77,100,10.36,US,2022-08-01 01:50:56,overcast clouds
21,Avarua,-21.2078,-159.775,77.05,73,75,13.8,CK,2022-08-01 01:50:14,broken clouds
22,Ilulissat,69.2167,-51.1,37.09,85,63,5.26,GL,2022-08-01 01:51:58,broken clouds
23,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
24,Jamestown,42.097,-79.2353,71.24,73,0,0.0,US,2022-08-01 01:51:58,clear sky
25,Punta Arenas,-53.15,-70.9167,42.91,75,75,12.66,CL,2022-08-01 01:47:32,broken clouds
26,Igarka,67.4667,86.5833,52.0,57,0,19.62,RU,2022-08-01 01:51:59,clear sky
27,Albany,42.6001,-73.9662,73.63,72,100,2.28,US,2022-08-01 01:51:50,overcast clouds
28,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
29,Ambilobe,-13.2,49.05,62.2,86,0,3.53,MG,2022-08-01 01:52:00,clear sky
30,Srednekolymsk,67.45,153.6833,77.81,33,100,12.73,RU,2022-08-01 01:52:00,overcast clouds
31,Vaini,-21.2,-175.2,80.76,94,75,6.91,TO,2022-08-01 01:51:55,broken clouds
32,Huarmey,-10.0681,-78.1522,62.53,84,15,8.97,PE,2022-08-01 01:52:01,few clouds
33,San Patricio,28.017,-97.5169,87.66,64,63,13.42,US,2022-08-01 01:52:02,broken clouds
34,Avarua,-21.2078,-159.775,77.05,73,75,13.8,CK,2022-08-01 01:50:14,broken clouds
35,Jumla,29.2747,82.1838,63.66,93,99,1.45,NP,2022-08-01 01:52:02,overcast clouds
36,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
37,Mataura,-46.1927,168.8643,51.48,69,81,9.13,NZ,2022-08-01 01:51:57,broken clouds
38,Port Lincoln,-34.7333,135.8667,59.76,61,3,15.64,AU,2022-08-01 01:52:03,clear sky
39,Valleyview,55.0667,-117.2859,73.44,64,100,4.61,CA,2022-08-01 01:52:03,overcast clouds
