City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,72.55,75,5,17.22,PF,2022-07-30 20:04:34
1,Kapaa,22.0752,-159.319,83.12,75,66,5.01,US,2022-07-30 20:00:54
2,Punta Arenas,-53.15,-70.9167,46.11,61,100,26.8,CL,2022-07-30 20:02:23
3,Pitimbu,-7.4706,-34.8086,75.79,92,100,10.65,BR,2022-07-30 20:04:35
4,Katsuura,35.1333,140.3,79.43,88,74,12.84,JP,2022-07-30 20:04:35
5,Tulsipur,28.131,82.2973,74.37,90,82,2.89,NP,2022-07-30 20:04:35
6,Atuona,-9.8,-139.0333,76.89,77,9,16.04,PF,2022-07-30 20:04:36
7,Victoria,22.2855,114.1577,86.32,87,45,11.36,HK,2022-07-30 20:02:27
8,Ushuaia,-54.8,-68.3,38.19,91,99,7.4,AR,2022-07-30 20:01:34
9,Osypenko,46.9136,36.8253,77.02,39,4,14.32,UA,2022-07-30 20:04:37
10,Corinto,37.9407,22.9573,85.89,46,0,2.21,GR,2022-07-30 20:04:37
11,Grindavik,63.8424,-22.4338,52.27,76,75,14.97,IS,2022-07-30 20:04:38
12,Coahuayana,18.7333,-103.6833,89.98,57,98,7.38,MX,2022-07-30 20:04:39
13,Longyearbyen,78.2186,15.6401,51.64,82,75,12.66,SJ,2022-07-30 20:04:39
14,Namibe,-15.1961,12.1522,62.44,86,96,2.1,AO,2022-07-30 20:04:40
15,Butaritari,3.0707,172.7902,81.37,69,98,16.26,KI,2022-07-30 20:04:40
16,Beringovskiy,63.05,179.3167,50.68,72,100,2.19,RU,2022-07-30 20:04:40
17,Hermanus,-34.4187,19.2345,46.8,77,94,6.11,ZA,2022-07-30 20:04:41
18,Mahebourg,-20.4081,57.7,70.25,73,40,18.41,MU,2022-07-30 20:04:41
19,Necochea,-38.5473,-58.7368,55.8,65,100,7.56,AR,2022-07-30 20:04:42
20,Bluff,-46.6,168.3333,37.8,79,100,16.44,NZ,2022-07-30 20:04:43
21,Chapais,49.7834,-74.8492,64.27,74,97,8.34,CA,2022-07-30 20:04:44
22,Pedasi,7.5333,-80.0333,83.62,71,100,1.14,PA,2022-07-30 20:04:44
23,Yellowknife,62.456,-114.3525,63.97,53,52,10.87,CA,2022-07-30 20:04:45
24,Hithadhoo,-0.6,73.0833,81.43,74,100,17.25,MV,2022-07-30 20:04:45
25,Albany,42.6001,-73.9662,81.36,50,43,12.26,US,2022-07-30 20:03:50
26,Georgetown,5.4112,100.3354,81.95,95,20,4.61,MY,2022-07-30 20:00:00
27,East London,-33.0153,27.9116,58.26,69,100,14.88,ZA,2022-07-30 20:01:39
28,Busselton,-33.65,115.3333,54.27,71,100,8.59,AU,2022-07-30 20:04:50
29,Mataura,-46.1927,168.8643,37.47,94,98,3.91,NZ,2022-07-30 20:04:50
30,Sitka,57.0531,-135.33,58.89,94,100,4.61,US,2022-07-30 20:01:29
31,Severo-Kurilsk,50.6789,156.125,52.97,92,90,6.04,RU,2022-07-30 20:04:51
32,Vaini,-21.2,-175.2,77.16,94,75,11.5,TO,2022-07-30 20:04:51
33,Boden,65.8252,21.6886,59.0,76,68,1.66,SE,2022-07-30 20:04:52
